expected, output, measured
10,0.00995016,9.98071
10,0.00991526,9.98062
10,0.00944542,9.98053
10,0.0101892,9.98044
10,0.0100401,9.98034
10,0.0100056,9.98026
10,0.00991392,9.98017
10,0.00993673,9.98008
10,0.00995963,9.97999
10,0.00992539,9.9799
10,0.00994844,9.97982
10,0.00991435,9.97973
10,0.00993757,9.97964
10,0.00990362,9.97956
10,0.00992698,9.97947
10,0.0099504,9.97939
10,0.00991668,9.9793
10,0.00994027,9.97922
10,0.00996394,9.97913
10,0.00993045,9.97905
10,0.00995426,9.97897
10,0.00992091,9.97888
10,0.00994486,9.9788
10,0.00991167,9.97872
10,0.00993576,9.97864
10,0.00995992,9.97856
10,0.00992692,9.97848
10,0.00995122,9.9784
10,0.00991838,9.97832
10,0.00994281,9.97824
10,0.0099101,9.97816
10,0.00993469,9.97808
10,0.00995934,9.978
10,0.00934532,9.97792
10,0.0102951,9.97784
10,0.0100911,9.97776
10,0.0100016,9.97768
10,0.00996939,9.9776
10,0.00993722,9.97753
10,0.00996236,9.97745
10,0.00993032,9.97738
10,0.00995557,9.9773
10,0.00992365,9.97723
10,0.00994903,9.97715
10,0.00991723,9.97708
10,0.00994273,9.97701
10,0.00996829,9.97694
10,0.00993668,9.97686
10,0.00996237,9.97679
10,0.0099309,9.97672
10,0.0099567,9.97665
10,0.00992535,9.97658
10,0.00995126,9.97651
10,0.00997724,9.97644
10,0.00994605,9.97637
10,0.00997214,9.9763
10,0.00994108,9.97623
10,0.00996728,9.97616
10,0.00993633,9.9761
10,0.00996264,9.97603
10,0.00993179,9.97596
